author,title,year,journal,volume,pages,type,possible_duplicate
"Reyes, F., Zanetti, S., Espinosa, A. and Alvear, M.",BIOCHEMICAL PROPERTIES IN VASCULAR EPIPHYTES SUBSTRATE FROM A TEMPERATE FOREST OF CHILE,2010,Revista De La Ciencia Del Suelo Y Nutricion Vegetal,10(2,,article,
"Reyes, F., Zanetti, S., Espinosa, A. and Alvear, M.",BIOCHEMICAL PROPERTIES IN VASCULAR EPIPHYTES SUBSTRATE FROM A TEMPERATE FOREST OF CHILE,2010,Journal Of Soil Science And Plant Nutrition,10(2),1,article,yes
"Saldana, A., Parra, M.J., Flores-Bavestrello, A., Corcuera, L.J. and Bravo, L.A.","Effects of forest successional status on microenvironmental conditions, diversity, and distribution",2014,Plant Species Biology,29(3),253-262,article,
"Salinas, F. and Armesto, J.J.",Regeneration niche of three epiphytic species of Gesneriaceae from Chilean rainforests: implications,2012,Botanical Journal Of The Linnean Society,170(1),79-,article,
"Soler, R., Martinez Pastur, G., Vanessa Lencinas, M. and Rosenfeld, M.",Variable retention management influences biomass of Misodendrum and Usnea in Nothofagus pumilio sout,2014,New Zealand Journal Of Botany,52(2),224-235,article,
"Stanton, D.E., Huallpa Chavez, J., Villegas, L., Villasante, F., Armesto, J., He",Epiphytes improve host plant water use by microenvironment modification,2014,Functional Ecology,28(5),1274-1283,article,
"Taylor, A., Saldana, A., Zotz, G., Kirby, C., Diaz, I. and Burns, K.",Composition patterns and network structure of epiphyte-host interactions in Chilean and New Zealand,2016,New Zealand Journal Of Botany,"54(2, SI)",204-222,article,
"Tejo Haristoy, C., Zabowski, D. and Nadkarni, N.","Canopy Soils of Sitka Spruce and Bigleaf Maple in the Queets River Watershed, Washington",2014,Soil Science Society Of America Journal,78(1),S118-,article,
"Tejo, C.F., Zabowski, D. and Nadkarni, N.M.",Total and epiphytic litter under the canopy of Acer macrophyllum in an old-growth temperate rainfore,2015,Canadian Journal Of Forest Research,45(11),1654-166,article,
"Troncoso, P.A., Perez, C.A., Larrain, J. and Ardiles, V.","The development of symbiotic nitrogen fixation along a primary chronosequence in Santa Ines Island,",2013,Revista Chilena De Historia Natural,86(3),345-355,article,
